label,display_name,unit_id,weighted_dprime,unweighted_dprime,dprime_delta
ib_w2_soft3,Soft 3,2143,12.956417994087332,12.898838317482966,0.057579676604365915
ib_w2_soft3,Soft 3,94,2.0240094148610197,2.0198732295875064,0.0041361852735133375
ib_w2_soft3,Soft 3,337,2.8101414955966693,2.8560768051715804,-0.0459353095749111
ib_w2_soft3,Soft 3,1143,5.152602815250087,5.135941213753494,0.016661601496593015
ib_w2_soft3,Soft 3,720,2.017893098483357,2.0045049638530754,0.013388134630281545
ib_w2_soft3,Soft 3,664,0.9434650187862716,0.9554866666646246,-0.012021647878352915
ib_w2_soft3,Soft 3,1300,3.8596124279587407,3.840112313193073,0.01950011476566793
ib_w2_soft3,Soft 3,1122,3.598051368005344,3.6093884334071777,-0.011337065401833879
ib_w2_soft3,Soft 3,793,8.487321144706241,8.498280549351076,-0.010959404644834692
ib_w2_soft3,Soft 3,1129,1.875927623332537,1.851878872461057,0.02404875087147995
ib_w2_soft10,Soft 10,2143,12.794933405476096,12.898838317482966,-0.10390491200687002
ib_w2_soft10,Soft 10,94,2.0314177069847363,2.0198732295875064,0.011544477397229969
ib_w2_soft10,Soft 10,337,2.766713861840927,2.8560768051715804,-0.08936294333065353
ib_w2_soft10,Soft 10,1143,5.1570819266294885,5.135941213753494,0.021140712875994616
ib_w2_soft10,Soft 10,720,2.019013076079408,2.0045049638530754,0.014508112226332415
ib_w2_soft10,Soft 10,664,0.9580321746875804,0.9554866666646246,0.0025455080229558336
ib_w2_soft10,Soft 10,1300,3.844773741120275,3.840112313193073,0.004661427927202144
ib_w2_soft10,Soft 10,1122,3.5915460776806367,3.6093884334071777,-0.017842355726541026
ib_w2_soft10,Soft 10,793,8.474476360386198,8.498280549351076,-0.02380418896487768
ib_w2_soft10,Soft 10,1129,1.882774604252179,1.851878872461057,0.030895731791121817
ib_w2_soft30,Soft 30,2143,12.784319834080511,12.898838317482966,-0.11451848340245441
ib_w2_soft30,Soft 30,94,2.02818144646902,2.0198732295875064,0.00830821688151362
ib_w2_soft30,Soft 30,337,2.825505073877184,2.8560768051715804,-0.030571731294396276
ib_w2_soft30,Soft 30,1143,5.156262198377513,5.135941213753494,0.020320984624019545
ib_w2_soft30,Soft 30,720,2.012947918405702,2.0045049638530754,0.00844295455262678
ib_w2_soft30,Soft 30,664,0.9519517530031508,0.9554866666646246,-0.0035349136614737375
ib_w2_soft30,Soft 30,1300,3.849619498818463,3.840112313193073,0.009507185625390324
ib_w2_soft30,Soft 30,1122,3.587724265937992,3.6093884334071777,-0.021664167469185536
ib_w2_soft30,Soft 30,793,8.419459639037806,8.498280549351076,-0.07882091031327043
ib_w2_soft30,Soft 30,1129,1.8869840110242844,1.851878872461057,0.03510513856322728
ib_w2_gate100,Gate 100,2143,12.745939292061705,12.898838317482966,-0.15289902542126121
ib_w2_gate100,Gate 100,94,2.0328998065959043,2.0198732295875064,0.013026577008397933
ib_w2_gate100,Gate 100,337,2.737830233951909,2.8560768051715804,-0.11824657121967119
ib_w2_gate100,Gate 100,1143,5.153269000330027,5.135941213753494,0.017327786576533555
ib_w2_gate100,Gate 100,720,2.0034399009737425,2.0045049638530754,-0.0010650628793329453
ib_w2_gate100,Gate 100,664,0.939859166093585,0.9554866666646246,-0.015627500571039565
ib_w2_gate100,Gate 100,1300,3.830098872818837,3.840112313193073,-0.010013440374235572
ib_w2_gate100,Gate 100,1122,3.6077301584666217,3.6093884334071777,-0.001658274940556037
ib_w2_gate100,Gate 100,793,8.493197068863125,8.498280549351076,-0.005083480487950709
ib_w2_gate100,Gate 100,1129,1.892996937625864,1.851878872461057,0.04111806516480687
ib_w2_gate300,Gate 300,2143,12.81674192852978,12.898838317482966,-0.08209638895318605
ib_w2_gate300,Gate 300,94,2.0422427568817825,2.0198732295875064,0.022369527294276104
ib_w2_gate300,Gate 300,337,0.1953629700050942,2.8560768051715804,-2.660713835166486
ib_w2_gate300,Gate 300,1143,5.154733004127887,5.135941213753494,0.018791790374392825
ib_w2_gate300,Gate 300,720,2.0213862846887327,2.0045049638530754,0.0168813208356573
ib_w2_gate300,Gate 300,664,0.9414584854399412,0.9554866666646246,-0.014028181224683411
ib_w2_gate300,Gate 300,1300,3.852216446808035,3.840112313193073,0.012104133614962098
ib_w2_gate300,Gate 300,1122,3.5858598449360453,3.6093884334071777,-0.023528588471132483
ib_w2_gate300,Gate 300,793,8.522655451295126,8.498280549351076,0.02437490194405001
ib_w2_gate300,Gate 300,1129,1.9138313051715232,1.851878872461057,0.06195243271046613
ib_w2_gate1000,Gate 1000,2143,12.741160679994838,12.898838317482966,-0.1576776374881277
ib_w2_gate1000,Gate 1000,94,2.0410867497159515,2.0198732295875064,0.02121352012844513
ib_w2_gate1000,Gate 1000,337,1.7137988996764102,2.8560768051715804,-1.1422779054951702
ib_w2_gate1000,Gate 1000,1143,5.157902447096963,5.135941213753494,0.02196123334346911
ib_w2_gate1000,Gate 1000,720,2.0111137116752307,2.0045049638530754,0.006608747822155259
ib_w2_gate1000,Gate 1000,664,0.9412024557365354,0.9554866666646246,-0.01428421092808918
ib_w2_gate1000,Gate 1000,1300,3.850873552256176,3.840112313193073,0.010761239063103112
ib_w2_gate1000,Gate 1000,1122,3.573816440192628,3.6093884334071777,-0.035571993214549735
ib_w2_gate1000,Gate 1000,793,8.36167709435892,8.498280549351076,-0.13660345499215687
ib_w2_gate1000,Gate 1000,1129,1.9015541768112891,1.851878872461057,0.04967530435023204
ib_w2_hard1000,Hard 1000,2143,12.568668542666344,12.898838317482966,-0.33016977481662124
ib_w2_hard1000,Hard 1000,94,2.034320045057392,2.0198732295875064,0.014446815469885799
ib_w2_hard1000,Hard 1000,337,2.83910877807936,2.8560768051715804,-0.01696802709222034
ib_w2_hard1000,Hard 1000,1143,5.048026127628649,5.135941213753494,-0.08791508612484478
ib_w2_hard1000,Hard 1000,720,1.9234783822072103,2.0045049638530754,-0.08102658164586507
ib_w2_hard1000,Hard 1000,664,0.914365457111086,0.9554866666646246,-0.041121209553538596
ib_w2_hard1000,Hard 1000,1300,3.68919808411649,3.840112313193073,-0.1509142290765828
ib_w2_hard1000,Hard 1000,1122,3.4883319712657825,3.6093884334071777,-0.1210564621413952
ib_w2_hard1000,Hard 1000,793,7.697779892190715,8.498280549351076,-0.8005006571603612
ib_w2_hard1000,Hard 1000,1129,1.8293467786771516,1.851878872461057,-0.022532093783905527
